Start (s),End (s),Segment
0.00,2.48,"In today's tech time, let's see about back propagation."
2.72,3.76,What is back propagation?
3.92,6.80,Back propagation is the essence of neural network training.
7.12,11.92,It is the method of fine-tuning the weights of a neural network based on the error rate obtained in the previous epoch.
12.08,16.32,Back propagation in neural network is a short form for backward propagation of errors.
16.64,19.92,It is a standard method of training artificial neural networks.
20.24,24.48,This method helps calculate the gradient of a loss function with respect to all the weights in the network.
24.64,26.24,How back propagation algorithm works.
26.40,28.56,"Inputs X, arrive through the pre-connected path."
28.72,30.64,Input is modeled using real weights W.
31.28,33.04,The weights are usually randomly selected.
33.28,36.24,Calculate the output for every neuron from the input layer.
36.56,38.32,"To the hidden layers, to the output layer."
38.56,39.84,Calculate the error in the outputs.
39.92,43.92,Travel back from the output layer to the hidden layer to adjust the weights such that the error is decreased.
44.08,46.72,Keep repeating the process until the desired output is achieved.
46.96,48.96,"If you have any doubt comment below, I will answer to it."
49.20,50.80,"Finally, don't forget to subscribe our channel."
