Start (s),End (s),Segment
10.88,15.28,"The fundamental, root-of-it-all building block for linear algebra is the vector."
15.60,19.92,So it's worth making sure that we're all on the same page about what exactly a vector is.
20.24,30.24,"You see, broadly speaking, there are three distinct but related ideas about vectors, which I'll call the physics student perspective, the computer science student perspective, and the mathematician's perspective."
30.56,34.48,The physics student perspective is that vectors are arrows pointing in space.
34.72,43.36,"What defines a given vector is its length and the direction it's pointing, but as long as those two facts are the same, you can move it all around and it's still the same vector."
43.68,50.64,"Vectors that live in the flat plane are two-dimensional, and those sitting in broader space that you and I live in are three-dimensional."
51.44,55.68,The computer science perspective is that vectors are ordered lists of numbers.
56.00,62.80,"For example, let's say you were doing some analytics about house prices, and the only features you cared about were square footage and price."
63.12,68.72,"You might model each house with a pair of numbers, the first indicating square footage, and the second indicating price."
69.04,71.20,"Notice, the order matters here."
72.48,84.32,"In the lingo, you'd be modeling houses as two-dimensional vectors, where in this context, vector is pretty much just a fancy word for list, and what makes it two-dimensional is the fact that the length of that list is 2."
85.44,98.96,"The mathematician, on the other hand, seeks to generalize both these views, basically saying that a vector can be anything where there's a sensible notion of adding two vectors and multiplying a vector by a number, operations that I'll talk about later on in this video."
99.20,107.92,"The details of this view are rather abstract, and I actually think it's healthy to ignore it until the last video of this series, favoring a more concrete setting in the interim."
108.24,117.36,But the reason I bring it up here is that it hints at the fact that the ideas of vector addition and multiplication by numbers will play an important role throughout linear algebra.
117.68,124.08,"But before I talk about those operations, let's just settle in on a specific thought to have in mind when I say the word vector."
124.40,139.12,"Given the geometric focus that I'm shooting for here, whenever I introduce a new topic involving vectors, I want you to first think about an arrow, and specifically, think about that arrow inside a coordinate system, like the xy plane, with its tail sitting at the origin."
139.36,144.80,"This is a little bit different from the physics student perspective, where vectors can freely sit anywhere they want in space."
145.04,150.56,"In linear algebra, it's almost always the case that your vector will be rooted at the origin."
150.88,160.80,"Then, once you understand a new concept in the context of arrows in space, we'll translate it over to the list of numbers point of view, which we can do by considering the coordinates of the vector."
161.12,172.00,"Now, while I'm sure that many of you are already familiar with this coordinate system, it's worth walking through explicitly, since this is where all of the important back and forth happens between the two perspectives of linear algebra."
172.32,179.68,"Focusing our attention on two dimensions for the moment, you have a horizontal line, called the x-axis, and a vertical line, called the y-axis."
180.00,185.68,"The place where they intersect is called the origin, which you should think of as the center of space and the root of all vectors."
186.00,191.60,"After choosing an arbitrary length to represent 1, you make tick marks on each axis to represent this distance."
191.92,201.36,"When I want to convey the idea of 2D space as a whole, which you'll see comes up a lot in these videos, I'll extend these tick marks to make grid lines, but right now they'll actually get a little bit in the way."
201.68,210.24,"The coordinates of a vector is a pair of numbers that basically gives instructions for how to get from the tail of that vector, at the origin, to its tip."
210.56,227.60,"The first number tells you how far to walk along the x-axis, positive numbers indicating rightward motion, negative numbers indicating leftward motion, and the second number tells you how far to walk parallel to the y-axis after that, positive numbers indicating upward motion, and negative numbers indicating downward motion."
227.92,234.08,"To distinguish vectors from points, the convention is to write this pair of numbers vertically, with square brackets around them."
235.92,243.84,"Every pair of numbers gives you one and only one vector, and every vector is associated with one and only one pair of numbers."
244.16,245.52,What about in three dimensions?
245.84,256.16,"Well, you add a third axis, called the z-axis, which is perpendicular to both the x and y-axes, and in this case, each vector is associated with an ordered triplet of numbers."
256.48,267.68,"The first tells you how far to move along the x-axis, the second tells you how far to move parallel to the y-axis, and the third one tells you how far to then move parallel to this new z-axis."
268.00,275.84,"Every triplet of numbers gives you one unique vector in space, and every vector in space gives you exactly one triplet of numbers."
276.40,279.84,"Alright, so back to vector addition and multiplication by numbers."
280.16,284.64,"After all, every topic in linear algebra is going to center around these two operations."
284.96,287.68,"Luckily, each one's pretty straightforward to define."
288.00,293.44,"Let's say we have two vectors, one pointing up and a little to the right, and the other one pointing right and down a bit."
293.76,299.60,"To add these two vectors, move the second one so that its tail sits at the tip of the first one."
299.92,308.72,"Then, if you draw a new vector from the tail of the first one to where the tip of the second one now sits, that new vector is their sum."
311.60,318.88,"This definition of addition, by the way, is pretty much the only time in linear algebra where we let vectors stray away from the origin."
319.20,321.12,"Now, why is this a reasonable thing to do?"
321.28,323.92,Why this definition of addition and not some other one?
325.12,332.32,"Well, the way I like to think about it is that each vector represents a certain movement, a step with a certain distance and direction in space."
332.64,344.72,"And, if you take a step along the first vector, then take a step in the direction and distance described by the second vector, the overall effect is just the same as if you moved along the sum of those two vectors to start with."
345.04,349.36,You could think about this as an extension of how we think about adding numbers on a number line.
349.60,357.68,"One way that we teach kids to think about this, say with 2 plus 5, is to think of moving two steps to the right, followed by another 5 steps to the right."
358.00,361.84,The overall effect is the same as if you just took 7 steps to the right.
362.16,365.36,"In fact, let's see how vector addition looks numerically."
365.68,372.16,"The first vector here has coordinates 1, 2, and the second one has coordinates 3, negative 1."
374.08,381.04,"When you take the vector sum using this tip-to-tail method, you can think of a four-step path from the origin to the tip of the second vector."
381.36,385.52,"Walk 1 to the right, then 2 up, then 3 to the right, then 1 down."
386.08,397.76,"Reorganizing these steps so that you first do all of the rightward motion, then do all the vertical motion, you can read it as saying, first move 1 plus 3 to the right, then move 2 minus 1 up."
399.92,404.80,So the new vector has coordinates 1 plus 3 and 2 plus negative 1.
405.12,412.16,"In general, vector addition in this list of numbers conception looks like matching up their terms and adding each one together."
414.48,417.92,The other fundamental vector operation is multiplication by a number.
418.24,421.12,Now this is best understood just by looking at a few examples.
421.44,429.60,"If you take the number 2 and multiply it by a given vector, it means you stretch out that vector so that it's 2 times as long as when you started."
429.84,436.64,"If you multiply that vector by, say, 1 third, it means you squish it down so that it's 1 3rd the original length."
436.96,446.08,"When you multiply it by a negative number, like negative 1.8, then the vector first gets flipped around, then stretched out by that factor of 1.8."
446.72,452.64,This process of stretching or squishing or sometimes reversing the direction of a vector is called scaling.
452.96,461.04,"And whenever you catch a number, like 2 or 1 third or negative 1.8, acting like this, scaling some vector, you call it a scalar."
461.36,470.72,"In fact, throughout linear algebra, one of the main things that numbers do is scale vectors, so it's common to use the word scalar pretty much interchangeably with the word number."
471.36,479.36,"Numerically, stretching out a vector by a factor of, say, 2 corresponds with multiplying each of its components by that factor, 2."
479.68,488.32,"So in the conception of vectors as lists of numbers, multiplying a given vector by a scalar means multiplying each one of those components by that scalar."
489.76,499.04,"You'll see in the following videos what I mean when I say that linear algebra topics tend to revolve around these two fundamental operations, vector addition and scalar multiplication."
499.28,508.80,"And I'll talk more in the last video about how and why the mathematician thinks only about these operations, independent and abstracted away from however you choose to represent vectors."
509.12,521.60,"In truth, it doesn't matter whether you think about vectors as fundamentally being arrows in space, like I'm suggesting you do, that happen to have a nice numerical representation, or fundamentally as lists of numbers that happen to have a nice geometric interpretation."
521.92,529.28,The usefulness of linear algebra has less to do with either one of these views than it does with the ability to translate back and forth between them.
529.60,539.84,"It gives the data analyst a nice way to conceptualize many lists of numbers in a visual way, which can seriously clarify patterns in data and give a global view of what certain operations do."
540.16,551.20,"And on the flip side, it gives people like physicists and computer graphics programmers a language to describe space and the manipulation of space using numbers that can be crunched and run through a computer."
551.52,562.48,"When I do mathy animations, for example, I start by thinking about what's actually going on in space and then get the computer to represent things numerically, thereby figuring out where to place the pixels on the screen."
562.80,566.48,And doing that usually relies on a lot of linear algebra understanding.
567.44,574.80,"So there are your vector basics, and in the next video, I'll start getting into some pretty neat concepts surrounding vectors, like span, bases, and linear dependence."
575.04,575.92,See you then!
