Start (s),End (s),Segment
0.96,3.84,What is the best loss function?
4.16,7.28,The age-old question in machine learning.
7.60,9.76,Will we solve this problem today?
11.28,24.08,"Nope, but we will talk about some loss functions, their pros and cons, and even discuss a recent paper on adaptive loss functions, so that would mean that you don't need to keep trying out different losses to find the best one that suits your needs."
24.40,25.28,Fun stuff.
25.92,28.24,"Okay, first, let's focus on regression."
28.56,30.00,I've got this data set here.
30.32,32.24,It looks like a line can fit this data.
32.56,39.20,"I'll train a linear regression model on it, and I choose to use the squared loss to minimize it."
39.52,40.72,The L2 loss.
41.36,43.68,My curve looks something like this.
47.76,48.96,"Okay, looks pretty good."
49.20,50.80,And it's also pretty simple.
51.12,58.72,"But if I introduce some outliers in this data, my model responds by freaking the hell out and trying to fit those data points better."
59.04,68.16,"This happens because that square term scales the errors by these outliers, so the model really wants to get these obscure points right."
68.72,72.16,I'll just change the loss function to the absolute difference.
72.48,82.00,"My model now treats the outliers like any other data point, so it won't go out of its way for outliers if it means compromising the rest of the model."
82.32,89.20,"This might lead to poor predictions from time to time, but if you really don't care about the extreme cases, this will do."
89.52,92.48,"Support vector regression uses this, by the way."
94.56,102.72,The advantage of the squared error is the ease with which we can compute the gradient for machine learning during gradient descent.
103.04,110.00,This gradient is not as simple in the absolute error case because of the points of discontinuity.
110.96,118.00,"The mean absolute error isn't optimized through gradient descent, but it's optimized by computing sub-gradients instead."
118.24,123.12,"It adds a bit more complexity, and I'll add some reading material in the description down below."
123.68,128.16,"We got two losses, one that loves outliers and another that ignores them."
128.48,134.40,"If you think that one doesn't work, you'll just use the other, and that might be fine in most cases."
134.72,136.16,But consider this.
136.80,141.60,Our data is about like 70% in one direction and 30% in the other direction.
141.92,154.80,"Technically, this data does not have any outliers, but our absolute loss may treat the 30% data as outliers and ignore it altogether, while the squared loss will try to capture those 30%."
155.68,158.48,Both decisions can lead to poor model performance.
158.80,160.40,How do we compromise?
160.72,163.52,We can do so by using the pseudo-Huber loss.
163.84,165.68,This is the best of both losses.
166.00,170.64,"If a data point has a relatively low error, we take the squared loss."
170.96,174.96,"If the data point is an outlier, we take the absolute loss."
175.28,181.92,The result is that it reduces the effects of outliers on the model while still being differentiable.
182.24,184.88,"And as such, it's slightly more complex."
185.44,189.76,The main problem here is that we have an extra hyperparameter to play with.
191.76,197.36,These are the most popular regression-based losses that you see in built-in regressors.
198.24,200.24,Now for classification losses.
200.56,204.40,"In classification, our outputs are obviously the class."
204.96,210.32,"But more precisely, it's the list of probabilities of belonging to different classes."
210.64,215.76,"And we just choose a class with the highest probability, cuz duh."
216.40,218.72,This list is a probability distribution.
